workerid,proliferate.condition,bike,mirror,error
305,intentional,"['cause', 'simple', 'fault', 'punish']","['cause', 'simple', 'fault', 'punish']",
309,intentional,"['cause', 'simple', 'punish', 'fault']","['cause', 'simple', 'fault', 'punish']",
297,intentional,"['cause', 'simple', 'punish', 'fault']","['simple', 'cause', 'punish', 'fault']",
314,intentional,"['simple', 'cause', 'punish', 'fault']","['simple', 'cause', 'punish', 'fault']",
281,intentional,"['simple', 'cause', 'punish', 'fault']","['simple', 'cause', 'fault', 'punish']",
283,intentional,"['cause', 'simple', 'fault', 'punish']","['simple', 'cause', 'fault', 'punish']",
289,intentional,"['cause', 'simple', 'fault', 'punish']","['simple', 'cause', 'fault', 'punish']",
285,intentional,"['cause', 'simple', 'fault', 'punish']","['simple', 'cause', 'fault', 'punish']",
295,intentional,"['cause', 'simple', 'punish', 'fault']","['simple', 'cause', 'punish', 'fault']",
299,intentional,"['simple', 'cause', 'punish', 'fault']","['simple', 'cause', 'punish', 'fault']",
301,intentional,"['simple', 'cause', 'punish', 'fault']","['cause', 'simple', 'punish', 'fault']",
287,intentional,"['cause', 'simple', 'fault', 'punish']","['simple', 'cause', 'fault', 'punish']",
316,intentional,"['cause', 'simple', 'punish', 'fault']","['simple', 'cause', 'punish', 'fault']",
311,intentional,"['simple', 'cause', 'fault', 'punish']","['simple', 'cause', 'fault', 'punish']",
319,intentional,"['cause', 'simple', 'punish', 'fault']","['cause', 'simple', 'punish', 'fault']",
291,intentional,"['cause', 'simple', 'punish', 'fault']","['simple', 'cause', 'punish', 'fault']",
321,intentional,"['cause', 'simple', 'punish', 'fault']","['simple', 'cause', 'punish', 'fault']",
307,intentional,"['cause', 'simple', 'punish', 'fault']","['cause', 'simple', 'punish', 'fault']",
303,intentional,"['simple', 'cause', 'fault', 'punish']","['simple', 'cause', 'fault', 'punish']",
293,intentional,"['cause', 'simple', 'fault', 'punish']","['simple', 'cause', 'fault', 'punish']",
313,accidental,"['cause', 'simple', 'punish', 'fault']","['cause', 'simple', 'punish', 'fault']",
282,accidental,"['cause', 'simple', 'fault', 'punish']","['cause', 'simple', 'punish', 'fault']",
292,accidental,"['simple', 'cause', 'punish', 'fault']","['cause', 'simple', 'fault', 'punish']",
300,accidental,"['cause', 'simple', 'fault', 'punish']","['simple', 'cause', 'punish', 'fault']",
315,accidental,"['simple', 'cause', 'punish', 'fault']","['cause', 'simple', 'punish', 'fault']",
302,accidental,"['cause', 'simple', 'punish', 'fault']","['simple', 'cause', 'fault', 'punish']",
294,accidental,"['simple', 'cause', 'punish', 'fault']","['simple', 'cause', 'fault', 'punish']",
290,accidental,"['simple', 'cause', 'fault', 'punish']","['simple', 'cause', 'punish', 'fault']",
298,accidental,"['cause', 'simple', 'punish', 'fault']","['simple', 'cause', 'punish', 'fault']",
296,accidental,"['cause', 'simple', 'punish', 'fault']","['simple', 'cause', 'fault', 'punish']",
322,accidental,"['cause', 'simple', 'punish', 'fault']","['simple', 'cause', 'punish', 'fault']",
365,accidental,"['simple', 'cause', 'fault', 'punish']","['cause', 'simple', 'punish', 'fault']",
318,accidental,"['cause', 'simple', 'fault', 'punish']","['simple', 'cause', 'punish', 'fault']",
304,accidental,"['simple', 'cause', 'punish', 'fault']","['cause', 'simple', 'punish', 'fault']",
286,accidental,"['simple', 'cause', 'punish', 'fault']","['simple', 'cause', 'fault', 'punish']",
284,accidental,"['simple', 'cause', 'fault', 'punish']","['simple', 'cause', 'punish', 'fault']",
312,accidental,"['simple', 'cause', 'punish', 'fault']","['cause', 'simple', 'fault', 'punish']",
306,accidental,"['cause', 'simple', 'punish', 'fault']","['cause', 'simple', 'punish', 'fault']",
320,accidental,"['cause', 'simple', 'punish', 'fault']","['simple', 'cause', 'punish', 'fault']",
310,accidental,"['simple', 'cause', 'punish', 'fault']","['cause', 'simple', 'fault', 'punish']",
