workerid,proliferate.condition,age,ethnicity,gender,error
635,absence,36,Non-Hispanic,Male,
604,absence,32,Non-Hispanic,Male,
633,absence,40,Hispanic,Female,
643,absence,24,Non-Hispanic,Male,
641,absence,42,Non-Hispanic,Male,
625,absence,30,Non-Hispanic,Female,
614,absence,46,Non-Hispanic,Male,
631,absence,28,Non-Hispanic,Male,
616,absence,28,Non-Hispanic,Male,
622,absence,50,Non-Hispanic,Female,
610,absence,45,Non-Hispanic,Male,
606,absence,27,Non-Hispanic,Female,
627,absence,43,Non-Hispanic,Male,
646,absence,42,Non-Hispanic,Male,
637,absence,23,Non-Hispanic,Male,
639,absence,35,Non-Hispanic,Male,
620,absence,22,Non-Hispanic,Male,
612,absence,30,Non-Hispanic,Female,
608,absence,26,Non-Hispanic,Non-binary,
629,absence,27,Non-Hispanic,Female,
632,present,35,Non-Hispanic,Male,
638,present,36,Non-Hispanic,Female,
619,present,35,Non-Hispanic,Male,
617,present,26,Non-Hispanic,Male,
603,present,23,Hispanic,Male,
640,present,19,Non-Hispanic,Male,
609,present,18,Non-Hispanic,Female,
626,present,18,Non-Hispanic,Male,
630,present,24,Hispanic,Male,
623,present,37,Non-Hispanic,Female,
605,present,36,Non-Hispanic,Male,
615,present,28,Non-Hispanic,Male,
642,present,32,Hispanic,Male,
628,present,28,Non-Hispanic,Female,
611,present,27,Non-Hispanic,Female,
644,present,31,Hispanic,Female,
624,present,35,Non-Hispanic,Male,
636,present,26,Non-Hispanic,Female,
634,present,30,Non-Hispanic,Male,
