workerid,proliferate.condition,scenario_order,error
635,absence,balloon,
635,absence,drum,
604,absence,balloon,
604,absence,drum,
633,absence,drum,
633,absence,balloon,
643,absence,drum,
643,absence,balloon,
641,absence,drum,
641,absence,balloon,
625,absence,balloon,
625,absence,drum,
614,absence,balloon,
614,absence,drum,
631,absence,balloon,
631,absence,drum,
616,absence,drum,
616,absence,balloon,
622,absence,balloon,
622,absence,drum,
610,absence,balloon,
610,absence,drum,
606,absence,drum,
606,absence,balloon,
627,absence,drum,
627,absence,balloon,
646,absence,balloon,
646,absence,drum,
637,absence,drum,
637,absence,balloon,
639,absence,balloon,
639,absence,drum,
620,absence,drum,
620,absence,balloon,
612,absence,balloon,
612,absence,drum,
608,absence,drum,
608,absence,balloon,
629,absence,balloon,
629,absence,drum,
632,present,balloon,
632,present,drum,
638,present,drum,
638,present,balloon,
619,present,drum,
619,present,balloon,
617,present,drum,
617,present,balloon,
603,present,drum,
603,present,balloon,
640,present,balloon,
640,present,drum,
609,present,balloon,
609,present,drum,
626,present,balloon,
626,present,drum,
630,present,drum,
630,present,balloon,
623,present,balloon,
623,present,drum,
605,present,drum,
605,present,balloon,
615,present,drum,
615,present,balloon,
642,present,balloon,
642,present,drum,
628,present,drum,
628,present,balloon,
611,present,balloon,
611,present,drum,
644,present,balloon,
644,present,drum,
624,present,drum,
624,present,balloon,
636,present,balloon,
636,present,drum,
634,present,drum,
634,present,balloon,
