workerid,proliferate.condition,age,ethnicity,gender,race,error
380,mental,23,Non-Hispanic,Female,White,
372,mental,31,Non-Hispanic,Female,White,
425,mental,40,Non-Hispanic,Male,White,
412,mental,33,Non-Hispanic,Female,White,
457,mental,44,Non-Hispanic,Female,White,
382,mental,34,Non-Hispanic,Female,White,
445,mental,56,Non-Hispanic,Female,White,
395,mental,42,Hispanic,Male,White,
448,mental,49,Non-Hispanic,Female,White,
407,mental,36,,Male,White,
388,mental,34,Non-Hispanic,Female,Asian,
386,mental,25,Non-Hispanic,Male,White,
438,mental,54,Non-Hispanic,Female,White,
423,mental,41,Non-Hispanic,Male,White,
374,mental,22,Non-Hispanic,Male,White,
436,mental,52,Hispanic,Female,White,
434,mental,36,Non-Hispanic,Male,White,
401,mental,41,Hispanic,Female,White,
378,mental,52,Non-Hispanic,Male,White,
430,mental,31,Non-Hispanic,Female,White,
429,physical,37,Non-Hispanic,Female,White,
447,physical,48,Non-Hispanic,Female,White,
455,physical,29,Non-Hispanic,Male,White,
383,physical,48,Non-Hispanic,Female,White,
394,physical,34,Non-Hispanic,Male,White,
428,physical,37,Non-Hispanic,Female,White,
373,physical,45,Non-Hispanic,Male,White,
441,physical,48,Hispanic,Male,White,
431,physical,33,Non-Hispanic,Female,other_race,
437,physical,48,Non-Hispanic,Male,White,
387,physical,30,Non-Hispanic,Male,Asian,
385,physical,35,Non-Hispanic,Male,Black/African American,
400,physical,58,Non-Hispanic,Female,White,
435,physical,34,Non-Hispanic,Male,White,
381,physical,32,Non-Hispanic,Male,Asian,
375,physical,58,Non-Hispanic,Male,White,
424,physical,37,Non-Hispanic,Female,White,
410,physical,47,Non-Hispanic,Female,White,
377,physical,34,Non-Hispanic,Male,White,
458,physical,24,Non-Hispanic,Male,White,
