workerid,proliferate.condition,cause_scare,scare,error
399,non-visible,Sister Amy.,"His sister, Amy, was responsible, but literally, Kate dressed as a clown scared him.  ",
397,non-visible,The clown,The clown,
403,non-visible,"His sister Amy, because she pushed the clown into the room. And the person dressed as the clown.","The individual dressed as a clown, and Ben's sister Amy.",
393,non-visible,"His sister, because she pushed her friend into his room and she was dressed like a clown.","Ben's sister's friend, but it was actually his sisters fault because she pushed her.",
426,non-visible,Amy,Kate,
391,non-visible,Kate,Kate,
415,non-visible,Kate because she was dressed as a clown which ben does not like.,Kate because she was pushed into the room dressed as a clown.,
413,non-visible,Katie coming into his room dressed as a clown.,Katie (because of the sister),
406,non-visible,Amy,Kate,
453,non-visible,Kate dressed as a clown,His sister when she pushed Kate into his room,
446,non-visible,His sister and friend dressed up.,His sister and friend scared him.,
417,non-visible,"Ben is afraid of clowns, and his sister's friend Amy is dressed as a clown for Halloween. The sister pushed Amy into Ben's room, scaring him.",Amy,
449,non-visible,His sister caused him to be scared because she pushed the other girl into his room.,His sister,
443,non-visible,Amy,Amy's friend,
389,non-visible,Katie,Amy,
451,non-visible,His sister Amy,Her friend Kate,
433,non-visible," Ben was scared because he is afraid because Amy pushed Kate, who is dressed as a clown, into the same room as Ben. Ben is afraid of Clowns, hence his reaction to this situation. ",Amy and Kate scared Ben. ,
440,non-visible,Amy,Amy,
409,non-visible,Amy caused Ben to be scared.,Amy scared Ben.,
419,non-visible,"Amy, by pushing Kate","Amy, by pushing Kate",
414,visible,He was scared because his sister made her friend dressed like a clown go into his room by pulling her.  He is scared of clowns.,His sister,
420,visible,I think his sister caused Ben to be scared. The friend seems as though she was forced into his room.,"Amy by forcing her friend into the room but ultimately, the friend in the clown costume.",
416,visible,"Amy caused Ben to become scared because she pulled Kate, dressed as a Clown, into Ben's room.","Kate, who dressed up as clown for Halloween, scared Ben.",
432,visible,His sister Amy.,His sister and her friend.,
418,visible,"Ben's sister (Amy?) - because ultimately, Kate looked like she resisted going into Ben's room, and it was Amy's idea to pull her in there, so while Kate's clown costume was the surface cause, it was really Amy that was the root cause.","Kate, because she is the one dressed as a clown and Ben is scared of clowns.",
439,visible,Amy and Kate,Kate,
398,visible,His sister Amy. ,"Kate, the friend. But it was still Amy's fault. ",
408,visible,amy,katie,
442,visible,Amy,Kate,
405,visible,"His sister, Amy.",Cate the clown,
390,visible,His sister by pulling her friend in the room dressed as a clown,Kate dressed as a clown,
422,visible, Amy and Kate,Amy and Kate,
392,visible,"His sister, by pulling her friend dressed as a clown into his room. ",His sister and her friend,
427,visible,"Amy, and unintentionally, Kate. ",Kate,
411,visible,Ben's sister,"Ben's sister

",
456,visible,Amy caused Ben to be scared by pulling Kate into the room ,Amy scared Ben by pulling Kate into the room,
454,visible,Ben's sister, Amy,
402,visible,Amy,Amy and Kate,
459,visible,Ben is afraid of clowns and he saw a girl dressed up like a clown when his sister brought her into his room. ,"Amy scared Ben by bringing in her friend who was dressed as a clown. The image showed that her friend was reluctant to enter Ben's room. Amy likely knew, since Ben is her brother, that he was afraid of clowns. Thus she caused the event to occur. ",
450,visible,"Amy pulled her friend, dressed as a clown, into his room.",Kate scared Ben.,
444,visible,The sisters best friend.,Amy,
