workerid,proliferate.condition,excited_cause,excited_lexical,scared_cause,scared_lexical,error
517,not visible,Andy,Tommy,Amy,Kate,
530,not visible,tommy,tommy,Kate,Kate,
475,not visible,Ben,Tommy,Amy,Kate (dressed as a clown),
508,not visible,Andy pushing Tommy into Suzy's classroom.,Tommy,Amy,"Kate scared Ben because his sister, Amy, pushed her into his room. he is scared of ckowns and Kate is dressed up as one.",
532,not visible,Tommy,Tommy,Amy,Kate,
548,not visible,tommy,tommy,the sister,the friend,
550,not visible,Tommy,Tommy,Kate,Kate,
482,not visible,ANDY PUSHED HIM INTO THE RED ROOM,TOMMY,AMY PUSHED KATE THE CLOWN INTO HIS BEDROOM,KATE,
536,not visible,Andy,Tommy,Amy, AMY,
487,not visible,Tommy did,Tommy excited suzy,Amy did when she pushed Kate into the room,Kate,
493,not visible,Tommy,Andy,the sister,the sister,
513,not visible,"I'm sorry I'm so bad with names, but the boy in the blue hat who pushed his friend Ben into Suzy's room, because she's excited by Ben? I think his name was.","Ben? I believe his name was, the boy in the yellow shirt, as it was stated she was excited by him prior to him being pushed into the room.",Amy did by pushing her clown friend into the room.,"Kate, because she is dressed as a clown.",
499,not visible,Andy,Tommy,Amy,Kate,
506,not visible,tommy,tommy,Amy,Kate,
545,not visible,Andy,Tommy,Amy,kate,
479,not visible,Andy & Tommy,Tommy,Amy & Kate,"Kate
",
502,not visible,Andy,Andy,Amy,Amy,
495,not visible,Mandy,mandy,kate,"kate
",
472,not visible,Tommy,Tommy,Kate,Kate,
521,not visible,Andy is in the red classroom.,Andy,He sees Kate dressed as a clown,Kate dressed as a clown.,
543,visible,Tommy, Tommy,Kate,Kate,
516,visible,tommy,tommy,the girl dressed as a clown,kate,
477,visible,Andy,Tommy,Amy and Kate,Amy and Kate,
488,visible,"Alex, who pulled Tommy into Suzy's room","Tommy, who was pulled into Suzy's room","Amy, by pulling Kate into Ben's room.","Kate, but she wouldn't have scared Ben if Amy hadn't pulled her into Ben's room.",
514,visible,her brothers friend ,her brothers friend tommy ,kate. his sisters friend ,kate who was dressed up as a clown ,
507,visible,tommy,tommy,amy,amy and kate,
519,visible,suzy got excited due to liking the boy that came into her classroom. She caused it base on her feelings and reaction when she say the boy.,tommy trigger excitement within suzy.,ben caused himself to be scared due to him being afraid of clowns.,kate scared ben due to clown costume triggering ben's fear of clowns.,
486,visible,"Tommy, but it was Andy who pulled into the room",tommy,"Amy, because she pulled Kate into Ben's room, knowing he would be scared of Kate's costume",Kate (unintentionally) because she was dressed as a clown,
533,visible,Tommy,Tommy,Kate,Kate,
557,visible,Andy,Tommy,The sister.,The sister's friend.,
474,visible,Andy,Tommy,Amy,Kate,
555,visible,tommy,andy,Amy,"kate
",
546,visible,Tommy caused her to be excited.,Tommy excited her.,Kate caused Ben to be scared,Kate scared Ben,
531,visible,2,1,NA,NA,
529,visible,Tommy...seeing Tommy made Suzy excited.,Tommy the guy Andy pulled into the room.,Amy because she pulled the clown into the room.,The clown who I think is named Kate.,
515,visible,suzy was excited to see tommy in her class,tommy excited suzy,ben is scared of clowns and kate was putting on a clowns clothes,they both scared ben due to there dressing,
501,visible, Tommy,Tommy,Amy,Kate,
539,visible,Tommy,Tommy,Amy,Kate,
481,visible,tommy,tommy,"his sister and her friend, but it was an accident ",the girl dressed as the clown,
523,visible,Tommy,Tommy,Amy,Clowns ,
537,visible,Tomy,Tomy,Amy,Kate,
